"ID","CREATE_TIME","SENSITIVE_WORD","STATUS","SENSI_TYPE","FILTER_TYPE","SENSI_GRADE"
"2007661","2017/8/1 16:37:35","高利贷","1","COMMENT","2","1"
"2007662","2017/8/1 16:37:35","老胡","1","COMMENT","2","1"
"2007663","2017/8/1 16:37:35","董建华","1","COMMENT","2","1"
"2007664","2017/8/1 16:37:35","六氟化铀","1","COMMENT","2","1"
"2007665","2017/8/1 16:37:35","令狐计划","1","COMMENT","2","1"
"2007666","2017/8/1 16:37:35","新疆独","1","COMMENT","2","1"
"2007667","2017/8/1 16:37:35","小鹏飞","1","COMMENT","2","1"
"2007668","2017/8/1 16:37:35","文字狱","1","COMMENT","2","1"
"2007669","2017/8/1 16:37:35","枪械","1","COMMENT","2","1"
"2007670","2017/8/1 16:37:35","黄菊","1","COMMENT","2","1"
"2007671","2017/8/1 16:37:35","中国自由党","1","COMMENT","2","1"
"2007672","2017/8/1 16:37:35","僧人自焚","1","COMMENT","2","1"
"2007696","2017/8/1 16:37:36","沈彤","1","COMMENT","2","1"
"2007697","2017/8/1 16:37:36","光祖","1","COMMENT","2","1"
"2007698","2017/8/1 16:37:36","法论大法","1","COMMENT","2","1"
"2007719","2017/8/1 16:37:36","J巴","1","COMMENT","2","1"
"2007720","2017/8/1 16:37:36","这不是天灾","1","COMMENT","2","1"
"2007721","2017/8/1 16:37:36","柴玲","1","COMMENT","2","1"
"2007722","2017/8/1 16:37:36","奸你","1","COMMENT","2","1"
"2007723","2017/8/1 16:37:36","华岳","1","COMMENT","2","1"
"2007724","2017/8/1 16:37:36","正帮通信公司","1","COMMENT","2","1"
"2007726","2017/8/1 16:37:36","bajiu","1","COMMENT","2","1"
"2007727","2017/8/1 16:37:36","税正宽","1","COMMENT","2","1"
"2007728","2017/8/1 16:37:36","巨波","1","COMMENT","2","1"
"2007684","2017/8/1 16:37:36","六河蟹四","1","COMMENT","2","1"
"2007685","2017/8/1 16:37:36","售麻醉","1","COMMENT","2","1"
"2007686","2017/8/1 16:37:36","兽奸","1","COMMENT","2","1"
"2007687","2017/8/1 16:37:36","保持正念","1","COMMENT","2","1"
"2007688","2017/8/1 16:37:36","中国社会进步党","1","COMMENT","2","1"
"2007689","2017/8/1 16:37:36","赵南","1","COMMENT","2","1"
"2007690","2017/8/1 16:37:36","爆乳","1","COMMENT","2","1"
"2007691","2017/8/1 16:37:36","第二代领导","1","COMMENT","2","1"
"2007692","2017/8/1 16:37:36","售弹簧刀","1","COMMENT","2","1"
"2007693","2017/8/1 16:37:36","小九老乐","1","COMMENT","2","1"
"2007694","2017/8/1 16:37:36","王正福","1","COMMENT","2","1"
"2007695","2017/8/1 16:37:36","以商养政","1","COMMENT","2","1"
"2007712","2017/8/1 16:37:36","擠乳汁","1","COMMENT","2","1"
"2007713","2017/8/1 16:37:36","阀抡","1","COMMENT","2","1"
"2007714","2017/8/1 16:37:36","肛交","1","COMMENT","2","1"
"2007715","2017/8/1 16:37:36","被指抄袭","1","COMMENT","2","1"
"2007716","2017/8/1 16:37:36","港鑫華","1","COMMENT","2","1"
"2007717","2017/8/1 16:37:36","网民诬","1","COMMENT","2","1"
"2007718","2017/8/1 16:37:36","江蛤蟆","1","COMMENT","2","1"
"2007725","2017/8/1 16:37:36","人民大众","1","COMMENT","2","1"
"2007673","2017/8/1 16:37:36","新生网","1","COMMENT","2","1"
"2007674","2017/8/1 16:37:36","老虎机","1","COMMENT","2","1"
"2007675","2017/8/1 16:37:36","tai du","1","COMMENT","2","1"
"2007676","2017/8/1 16:37:36","蒋介石","1","COMMENT","2","1"
"2007677","2017/8/1 16:37:36","fuck","1","COMMENT","2","1"
"2007678","2017/8/1 16:37:36","梁光烈","1","COMMENT","2","1"
"2007679","2017/8/1 16:37:36","复印件制","1","COMMENT","2","1"
"2007680","2017/8/1 16:37:36","陈川平","1","COMMENT","2","1"
"2007681","2017/8/1 16:37:36","黄明","1","COMMENT","2","1"
"2007682","2017/8/1 16:37:36","周YK","1","COMMENT","2","1"
"2007683","2017/8/1 16:37:36","UltraSurf","1","COMMENT","2","1"
"2007699","2017/8/1 16:37:36","仁吉旺姆","1","COMMENT","2","1"
"2007700","2017/8/1 16:37:36","红魂网站","1","COMMENT","2","1"
"2007701","2017/8/1 16:37:36","波比·肯","1","COMMENT","2","1"
"2007702","2017/8/1 16:37:36","手机监","1","COMMENT","2","1"
"2007703","2017/8/1 16:37:36","税金低","1","COMMENT","2","1"
"2007704","2017/8/1 16:37:36","逼样","1","COMMENT","2","1"
"2007705","2017/8/1 16:37:36","苏晓康","1","COMMENT","2","1"
"2007706","2017/8/1 16:37:36","站街","1","COMMENT","2","1"
"2007707","2017/8/1 16:37:36","滕文生","1","COMMENT","2","1"
"2007708","2017/8/1 16:37:36","呼吁书","1","COMMENT","2","1"
"2007709","2017/8/1 16:37:36","黄奇帆","1","COMMENT","2","1"
"2007710","2017/8/1 16:37:36","信访","1","COMMENT","2","1"
"2007711","2017/8/1 16:37:36","胡海峰","1","COMMENT","2","1"
"2007763","2017/8/1 16:37:37","胡王八","1","COMMENT","2","1"
"2007764","2017/8/1 16:37:37","莫达非尼","1","COMMENT","2","1"
"2007765","2017/8/1 16:37:37","开邓选","1","COMMENT","2","1"
"2007766","2017/8/1 16:37:37","h奶","1","COMMENT","2","1"
"2007767","2017/8/1 16:37:37","鲍筒","1","COMMENT","2","1"
"2007768","2017/8/1 16:37:37","占领深圳","1","COMMENT","2","1"
"2007769","2017/8/1 16:37:37","四博会","1","COMMENT","2","1"
"2007770","2017/8/1 16:37:37","出售发票","1","COMMENT","2","1"
"2007771","2017/8/1 16:37:37","台独","1","COMMENT","2","1"
"2007772","2017/8/1 16:37:37","刘信达","1","COMMENT","2","1"
"2007773","2017/8/1 16:37:37","袁荣祥","1","COMMENT","2","1"
"2007774","2017/8/1 16:37:37","两会又三","1","COMMENT","2","1"
"2007781","2017/8/1 16:37:37","女优","1","COMMENT","2","1"
"2007729","2017/8/1 16:37:37","高层生命","1","COMMENT","2","1"
"2007730","2017/8/1 16:37:37","taiwan","1","COMMENT","2","1"
"2007731","2017/8/1 16:37:37","自杀手册","1","COMMENT","2","1"
"2007732","2017/8/1 16:37:37","成人小","1","COMMENT","2","1"
"2007733","2017/8/1 16:37:37","周旭洲","1","COMMENT","2","1"
"2007734","2017/8/1 16:37:37","右转是政","1","COMMENT","2","1"
"2007735","2017/8/1 16:37:37","日死你","1","COMMENT","2","1"
"2007736","2017/8/1 16:37:37","中国人权","1","COMMENT","2","1"
"2007737","2017/8/1 16:37:37","滕叙兖","1","COMMENT","2","1"
"2007738","2017/8/1 16:37:37","汤光中","1","COMMENT","2","1"
"2007739","2017/8/1 16:37:37","余刚","1","COMMENT","2","1"
"2007740","2017/8/1 16:37:37","人质","1","COMMENT","2","1"
"2007741","2017/8/1 16:37:37","干你全家","1","COMMENT","2","1"
"2007742","2017/8/1 16:37:37","中国联通","1","COMMENT","2","1"
"2007743","2017/8/1 16:37:37","twdl","1","COMMENT","2","1"
"2007744","2017/8/1 16:37:37","公开批评中央高层领导人","1","COMMENT","2","1"
"2007745","2017/8/1 16:37:37","中华人民实话实说","1","COMMENT","2","1"
"2007746","2017/8/1 16:37:37","huanet","1","COMMENT","2","1"
"2007747","2017/8/1 16:37:37","酱猪媳","1","COMMENT","2","1"
"2007748","2017/8/1 16:37:37","陰唇","1","COMMENT","2","1"
"2007749","2017/8/1 16:37:37","集体淫","1","COMMENT","2","1"
